UQAM_Sample_id,UF_Sample_id,Collection_Date,Location,Location_id,Replicate_id,Water_Depth,Core_Section,d13C,perc_OC,pyC,Lambda,Sigma8,S,V,C,P,SV,CV,PVS,BdV,AcAds,AcAdv
2,1,2/2/18,Montecito Debris,MD,1,0,NA,-27.05,3.59,4.75,3.41,12.24,2.35,0.86,0.2,0.34,2.73,0.23,0.11,0.23,0.21,0.34
5,4,2/2/18,Montecito Debris,MD,2,0,NA,-27.02,3.49,4.58,1.46,5.08,0.91,0.46,0.08,0.26,1.97,0.16,0.19,0.36,0.33,0.51
8,7,2/2/18,Goleta Beach,GBEA,1,0,0-11,-23.59,0.21,0.35,0.16,0.03,0.12,0.03,0.01,0.07,4.83,0.43,0.5,3.1,0.4,1.19
11,10,2/2/18,Goleta Beach,GBEA,2,0,0-11,-22.92,0.13,0.44,0.08,0.01,0.06,0.02,NA,0.07,4.03,NA,0.94,2.36,0.29,1.07
14,13,2/2/18,Goleta Slough,GOSL,1,0,0-17,-22.53,0.09,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,16,2/2/18,Goleta Slough,GOSL,2,0,0-18,-25.43,0.28,0.32,0.48,0.13,0.37,0.11,NA,0.07,3.26,0.04,0.14,0.43,0.17,0.29
20,19,2/23/18,Debris Deposition Site,DD,1,0,0-14,-26.28,0.26,0.79,0.56,0.14,0.37,0.17,0.02,0.11,2.22,0.1,0.2,0.5,0.24,0.39
23,22,2/23/18,Debris Deposition Site,DD,2,0,0-11,-25.68,0.21,0.32,0.84,0.18,0.59,0.24,0.02,0.08,2.46,0.07,0.1,0.32,0.23,0.32
26,25,2/23/18,Goleta Beach,GBEA,1,0,0-13,-23.88,0.15,0.44,0.07,0.01,0.06,0.01,NA,0.02,8.92,NA,0.29,3.62,0.35,NA
29,28,2/23/18,Goleta Beach,GBEA,2,0,0-14,-23.95,0.14,0.41,0.11,0.01,0.09,0.01,NA,0.03,6.32,NA,0.32,1.8,0.27,NA
32,31,2/23/18,Goleta Slough,GOSL,1,0,0-14,-22.47,0.17,0.36,0.07,0.01,0.06,NA,NA,0.02,NA,NA,0.24,6.24,0.22,1.24
35,34,2/23/18,Goleta Slough,GOSL,2,0,0-14,-22.77,0.05,0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,37,4/23/18,Goleta Bay West,GOBW,1,5,0-10,-22.81,0.43,0.64,0.63,0.22,0.43,0.19,0.02,0.16,2.27,0.1,0.27,0.63,0.3,0.23
41,40,4/23/18,Goleta Bay West,GOBW,2,5,0-10,-22.81,0.35,0.53,0.36,0.16,0.28,0.07,0.01,0.11,3.8,0.11,0.32,1.35,0.46,0.35
44,43,4/23/18,Goleta Bay West,GOBW,1,5,10-20,-23.62,0.45,1.04,0.25,0.11,0.14,0.07,0.03,0.05,1.93,0.48,0.21,1.12,0.38,0.37
47,46,4/23/18,Goleta Bay West,GOBW,2,5,10-20,-22.26,0.36,0.51,0.29,0.11,0.17,0.1,0.02,0.1,1.71,0.19,0.37,0.86,0.35,0.26
50,49,4/23/18,Goleta Bay West,GOBW,1,10,0-10,-21.94,0.4,0.76,0.54,0.22,0.36,0.15,0.04,0.18,2.43,0.29,0.36,0.75,0.34,NA
53,52,4/23/18,Goleta Bay West,GOBW,2,10,0-10,-23.05,0.29,0.54,0.26,0.07,0.17,0.09,0.01,0.11,1.93,0.06,0.44,0.84,0.25,0.33
56,55,4/23/18,Goleta Bay West,GOBW,1,10,10-20,-23.6,0.55,1.5,0.82,0.45,0.45,0.29,0.07,0.13,1.54,0.23,0.18,0.32,0.42,0.23
59,58,4/23/18,Goleta Bay West,GOBW,2,10,10-20,-22.58,0.37,0.96,4.6,1.7,3.61,0.93,0.05,0.18,3.88,0.05,0.04,0.11,0.3,0.12
62,61,4/23/18,Goleta Bay West,GOBW,1,20,0-10,-23.67,0.55,1.21,3.31,1.82,2.07,1.12,0.11,0.31,1.85,0.1,0.1,0.18,0.37,0.15
65,64,4/23/18,Goleta Bay West,GOBW,2,20,0-10,-23.42,0.59,1.15,1.36,0.8,0.67,0.63,0.07,0.15,1.06,0.11,0.11,0.26,0.42,0.25
68,67,4/23/18,Goleta Bay West,GOBW,1,20,10-20,-24.17,0.66,1.59,1.03,0.68,0.65,0.32,0.05,0.08,2.04,0.16,0.09,0.28,0.23,0.21
71,70,4/23/18,Goleta Bay West,GOBW,2,20,10-20,-23.93,0.67,1.23,1.54,1.03,0.98,0.47,0.09,0.15,2.1,0.19,0.1,0.37,0.28,0.23
74,73,4/23/18,Goleta Bay East,GOBE,1,10,0-10,-22.41,0.29,0.62,0.71,0.21,0.49,0.16,0.06,0.08,3.03,0.38,0.12,0.69,0.31,0.32
77,76,4/23/18,Goleta Bay East,GOBE,2,10,0-10,-22.3,0.16,0.43,0.67,0.11,0.43,0.21,0.03,0.14,2.05,0.15,0.21,0.47,0.27,0.24
80,79,4/23/18,Goleta Bay East,GOBE,1,10,10-20,-21.52,0.17,0.39,0.44,0.08,0.33,0.1,0.02,0.14,3.35,0.19,0.32,0.62,0.31,0.27
83,82,4/23/18,Goleta Bay East,GOBE,2,10,10-20,-22.06,0.24,0.62,0.51,0.12,0.31,0.18,0.03,0.11,1.74,0.17,0.23,0.45,0.36,0.26
86,85,4/23/18,Goleta Bay East,GOBE,1,20,0-10,-23.11,0.42,0.8,1.35,0.57,0.62,0.66,0.07,0.19,0.93,0.11,0.15,0.19,0.42,0.23
89,88,4/23/18,Goleta Bay East,GOBE,2,20,0-10,-22.58,0.3,0.59,1.34,0.4,0.93,0.37,0.05,0.21,2.52,0.13,0.16,0.35,0.23,0.25
92,91,4/23/18,Goleta Bay East,GOBE,1,20,10-20,-23.89,0.43,0.8,0.74,0.32,0.45,0.24,0.05,0.29,1.87,0.19,0.42,0.36,0.34,0.22
95,94,4/23/18,Goleta Bay East,GOBE,2,20,10-20,-22.84,0.31,0.54,0.54,0.17,0.34,0.17,0.03,0.14,1.92,0.18,0.27,0.55,0.32,0.24
98,97,4/24/18,Clay Debris,CD,1,0,NA,-26.72,2.69,3.86,1.65,4.43,1.06,0.45,0.14,0.22,2.33,0.3,0.15,0.54,0.58,0.31
101,100,4/24/18,Clay Debris,CD,2,0,NA,-26.67,2.75,3.86,1.63,4.49,1.05,0.47,0.11,0.22,2.25,0.24,0.15,0.45,0.48,0.28
104,103,4/24/18,Debris Deposition Site,DD,1,0,NA,-22.35,0.1,0.4,0.03,NA,NA,0.01,0.02,0.04,NA,3.09,5.7,9.12,NA,NA
107,106,4/24/18,Debris Deposition Site,DD,2,0,NA,-21.97,0.11,0.4,0.06,0.01,0.05,0.01,NA,0.03,8.29,NA,0.53,5.52,NA,NA
110,109,4/24/18,Goleta Beach,GBEA,1,0,0-10,-22.88,0.16,0.45,0.08,0.01,0.06,0.01,NA,0.06,4.58,NA,0.76,6.27,NA,NA
113,112,4/24/18,Goleta Beach,GBEA,2,0,0-10,-22.93,0.09,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,115,4/24/18,Goleta Slough,GOSL,1,0,0-14.5,-22.8,0.07,0.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,118,4/24/18,Goleta Slough,GOSL,2,0,0-14,-22.31,0.07,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA